Address,Neighborhood,Lat,Lon,Value23,Value24,Tax23,Tax24
"2 Harvest Lane Cape Elizabeth, ME 04107",R04,43.614421,-70.252784,488700,983500,10918,10544
"2 Headland Lane Cape Elizabeth, ME 04107",U49,43.6199228,-70.2417695,335600,703000,7497,7458
"2 Heatherstone Lane Cape Elizabeth, ME 04107",U04,43.6278051,-70.2205748,1630500,2367400,36425,25766
"2 Hemlock Hill Road Cape Elizabeth, ME 04107",U33,43.6254777,-70.233138,325300,617200,7267,6789
"2 Heritage Court Cape Elizabeth, ME 04107",U56,43.5686995,-70.2130129,578100,1427100,12915,15423
"2 Hermit Thrush Road Cape Elizabeth, ME 04107",U04,43.626792,-70.2259555,221600,697400,4951,7396
"2 High View Road Cape Elizabeth, ME 04107",U42,43.585058,-70.2133358,304400,655600,6800,7212
"2 Hockey Pond Road Cape Elizabeth, ME 04107",R05,43.6186543,-70.2152441,231700,634900,5176,6709
"2 Hunts Point Road Cape Elizabeth, ME 04107",U38,43.5741329,-70.2028824,1675400,3165700,37428,34823
"2 Ivie Road Cape Elizabeth, ME 04107",U04,43.6259948,-70.2214388,390500,917400,8724,9816
"2 Jewett Road Cape Elizabeth, ME 04107",U19,43.5839812,-70.2298037,197300,484800,4408,5058
"2 Julie Ann Lane Cape Elizabeth, ME 04107",U11,43.5981927,-70.2234396,583200,1219400,13029,13413
"2 Katahdin Road Cape Elizabeth, ME 04107",U12,43.5810061,-70.2100482,362000,828400,8087,8837
"2 Kenyon Lane Cape Elizabeth, ME 04107",U05,43.6272505,-70.2164713,687000,1603100,15348,17293
"2 Keyes Lane Cape Elizabeth, ME 04107",U05,43.7599522,-69.9762353,742700,1697100,16592,18668
"2 Legacy Way Cape Elizabeth, ME 04107",U20,43.585718,-70.228335,437300,971400,9769,10410
"2 Leighton Farm Road Cape Elizabeth, ME 04107",R05,43.5940394,-70.2534124,446900,812600,9984,8664
"2 Lighthouse Point Road Cape Elizabeth, ME 04107",U15,43.5652212,-70.2011867,702900,1228800,15703,13242
"2 Lindenwood Road Cape Elizabeth, ME 04107",U04,43.6275206,-70.2243632,490300,1189200,10953,12806
"2 Linwood Street Cape Elizabeth, ME 04107",U34,43.6314061,-70.2359233,195400,509000,4365,5324
"2 Locksley Road Cape Elizabeth, ME 04107",U06,43.6216895,-70.2228582,356500,880700,7964,9688
"2 Lydon Lane Cape Elizabeth, ME 04107",U33,43.6264277,-70.2340687,335500,606600,7495,6398
"2 Manor Way Cape Elizabeth, ME 04107",U30,43.6110467,-70.2230791,651200,1171700,14548,12614
"2 Masefield Terrace Cape Elizabeth, ME 04107",U38,43.5708911,-70.204731,581400,1273200,12988,14005
"2 Maxwell Woods Drive Cape Elizabeth, ME 04107",U29,43.619039,-70.244031,363500,817600,8121,8994
"2 Mcauley Road Cape Elizabeth, ME 04107",U49,43.622031,-70.2380204,253600,573400,5665,6307
"2 Mckenney Point Road Cape Elizabeth, ME 04107",U41,43.559748,-70.2098087,711100,1515500,15886,16396
"2 Meadow Way Cape Elizabeth, ME 04107",U21,43.5944937,-70.2357734,181600,477500,4057,4978
"2 Meadowview Lane Cape Elizabeth, ME 04107",U31,43.6157552,-70.2321868,352500,760000,7875,8085
"2 Misty Lane Cape Elizabeth, ME 04107",U36,43.5764742,-70.212098,362700,1065400,8103,11444
"2 Montgomery Terrace Cape Elizabeth, ME 04107",U02,43.632946,-70.224341,532100,1114600,11887,12261
"2 Moonshadow Lane Cape Elizabeth, ME 04107",U33,43.5887691,-70.2356288,306300,554200,6843,5821
"2 Oak Knoll Road Cape Elizabeth, ME 04107",U13,43.5868123,-70.2060773,1115100,2292900,24911,25222
"2 Oakview Drive Cape Elizabeth, ME 04107",U25,43.607908,-70.236523,159400,333300,3561,3666
"2 Oakwood Road Cape Elizabeth, ME 04107",U24,43.6051707,-70.2349645,181100,473900,4046,4938
"2 Ocean Avenue Cape Elizabeth, ME 04107",U17,43.5689497,-70.2232866,323100,849500,7218,9070
"2 Old Ocean House Road Cape Elizabeth, ME 04107",R02,43.5915258,-70.2226454,1447200,2394600,32330,25914
"2 Olde Colony Lane Cape Elizabeth, ME 04107",U09,43.6076405,-70.2174854,570300,876700,12741,9369
"2 Olde Fort Road Cape Elizabeth, ME 04107",U06,43.622836,-70.2170449,243000,715200,5429,7592
"2 Orchard Road Cape Elizabeth, ME 04107",U21,43.5954192,-70.2356268,172300,454600,3849,4726
"2 Park Circle Cape Elizabeth, ME 04107",U54,43.5979154,-70.2717399,763100,1626600,17048,17618
"2 Patricia Drive Cape Elizabeth, ME 04107",U35,43.5953482,-70.2411582,277600,561300,6202,6174
"2 Peppergrass Road Cape Elizabeth, ME 04107",U60,43.6004307,-70.2562208,832900,1506500,18607,16297
"2 Pheasant Hill Road Cape Elizabeth, ME 04107",R04,43.6031299,-70.2478321,309200,659200,6908,6976
"2 Philip Road Cape Elizabeth, ME 04107",U22,43.5967559,-70.2355775,247200,462400,5522,5086
"2 Phoebes Way Cape Elizabeth, ME 04107",R04,43.6091211,-70.2567809,281100,757900,6280,8062
"2 Pine Point Road Cape Elizabeth, ME 04107",U35,43.5990793,-70.2371751,249800,521800,5581,5465
"2 Pine Ridge Road Cape Elizabeth, ME 04107",U36,43.5747118,-70.2083356,487900,1099800,10900,11823
"2 Pleasant Avenue Cape Elizabeth, ME 04107",U27,43.6108006,-70.2495505,233700,541600,5221,5683
"2 Pleasant Valley Ave Cape Elizabeth, ME 04107",U24,43.6049825,-70.2363518,271300,690800,6061,7324
"2 Pond View Road Cape Elizabeth, ME 04107",U18,43.5758976,-70.2216775,230900,576700,5158,6344
"2 Purpoodock Drive Cape Elizabeth, ME 04107",U27,43.6144333,-70.2480559,307000,628600,6858,6915
"2 Rand Road Cape Elizabeth, ME 04107",U22,43.596939,-70.2312733,251800,577600,5625,6354
"2 Roberts Lane Cape Elizabeth, ME 04107",U08,43.6112519,-70.2139826,412100,1262200,9206,13609
"2 Robinhood Road Cape Elizabeth, ME 04107",U06,43.6231845,-70.2185473,555000,917000,12399,10087
"2 Rock Crest Drive Cape Elizabeth, ME 04107",U50,43.6164908,-70.2296094,591600,1364800,13216,14738
"2 Rock Wall Lane Cape Elizabeth, ME 04107",U04,43.6251879,-70.2267702,273200,801300,6103,8539
"2 Rocky Hill Road Cape Elizabeth, ME 04107",U04,43.6254913,-70.220139,480800,1024000,10741,10989
"2 Rocky Knoll Road Cape Elizabeth, ME 04107",U04,43.626998,-70.225412,402800,1003100,8999,10759
"2 Rocky Point Lane Cape Elizabeth, ME 04107",U14,43.5693119,-70.2019131,536500,1224300,11985,13467
"2 Rosewood Drive Cape Elizabeth, ME 04107",U34,43.629354,-70.2333561,535800,836000,11970,8723
"2 Roundabout Lane Cape Elizabeth, ME 04107",U36,43.5748604,-70.2092,415100,967900,9273,10647
"2 Rugosa Way Cape Elizabeth, ME 04107",U38,43.5731584,-70.2072562,852900,2172900,19054,23627
"2 Salt Spray Lane Cape Elizabeth, ME 04107",U36,43.5777704,-70.2088334,1149500,2701100,25680,29712
"2 Scamman Circle Cape Elizabeth, ME 04107",U36,43.5782049,-70.2088185,1695400,3403700,37875,37441
"2 Scott Dyer Road Cape Elizabeth, ME 04107",U21,43.596181,-70.2289953,257000,637400,5741,7011
"2 Sea Barn Road Cape Elizabeth, ME 04107",U08,43.6106944,-70.2148262,514800,1348800,11501,14562
